id,image_src,shape,lens_width,gender,color,face_shape,skin,width,target
5.35E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/files/ORP1900848_1.jpg?v=1705277314,rectangle,54,female,black,oval,light,55,
5.31E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/files/ORP1800833_1.jpg?v=1705277234,rectangle,52,female,gold,oval,light,53,
5.31E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/files/ORP1402964_1.jpg?v=1705277193,rectangle,51,female,brown,oval,light,52,
6.98E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/products/PU0064O001_1.jpg?v=1665630294,rectangle,54,male,blue,oval,light,55,
7.15E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/files/SL532004_1.jpg?v=1693463927,round,53,male,black,oval,light,54,
7.06E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/products/GG1349O003_1.jpg?v=1674802099,round,53,male,gold,oval,light,54,
6.98E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/products/GG1145O003_1.jpg?v=1665625175,round,54,female,gold,oval,light,55,
6.61E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/files/SLM96001_1.jpg?v=1702266002,round,55,female,black,oval,light,56,
6.61E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/products/SL471001_1.jpg?v=1658797459,round,53,female,black,oval,light,54,
5.31E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/products/KAO1927303_1_4f62b72a-d63f-43e0-a8ce-d19f36ac4e67.jpg?v=1603961490,round,51,male,gold,oval,light,52,
5.31E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/products/KAO2027316_1.jpg?v=1678325680,round,53,male,black,oval,light,54,
5.31E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/products/LAO2028918_1.jpg?v=1625028365,round,51,male,black,oval,light,52,
5.31E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/products/LAO2028926_1.jpg?v=1625028385,round,53,male,gold,oval,light,54,
7.01E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/products/LSO2351508_1.jpg?v=1671066561,d-frame,52,male,black,oval,light,53,
6.85E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/products/ORP2230821_1.jpg?v=1652845657,d-frame,49,female,blue,oval,light,50,
6.61E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/products/SL482001_1.jpg?v=1627363251,d-frame,54,female,black,oval,light,55,
6.58E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/products/SL454001_1.jpg?v=1628728297,d-frame,56,male,black,oval,light,57,
5.42E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/products/GG0826O004_1.jpg?v=1625037664,d-frame,55,male,black,oval,light,56,
5.35E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/files/GG0548O005_1.jpg?v=1693458478,d-frame,55,female,black,oval,light,56,
5.31E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/products/KAO2027310_1_9df8fc58-6b1d-4574-a0f4-f0cd8d2cef30.jpg?v=1603961528,d-frame,49,male,black,oval,light,50,
6.87E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/products/ORP1830836_1.jpg?v=1673484649,d-frame,53,female,brown,oval,light,54,
6.98E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/products/SL345001_1.jpg?v=1665630386,square,55,male,black,oval,light,56,
6.89E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/products/GG1231OA001_1.jpg?v=1659427665,square,55,male,gold,oval,light,56,
6.89E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/products/GG1230OA002_1.jpg?v=1659427659,square,53,male,black,oval,light,54,
6.89E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/products/GG1213OA004_1.jpg?v=1659335673,square,55,female,black,oval,light,56,
6.89E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/products/GG1209O002_1.jpg?v=1659335667,square,57,male,gold,oval,light,58,
6.89E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/products/GG1192O004_1.jpg?v=1659427481,square,53,female,black,oval,light,54,
6.73E+12,https://cdn.shopify.com/s/files/1/0387/1417/9628/products/GG1125OA002_1.jpg?v=1642644428,square,53,male,gold,oval,light,54,
